검색일시,기사일자,제목(원문),제목(직역),제목(의역),링크,해시
06-10 09:00,06-09,The final days of grace: Preparing for the US sensitive data rule,은혜의 마지막 날 : 미국 민감한 데이터 규칙 준비,은혜의 마지막 날 : 미국 민감한 데이터 규칙 준비,https://iapp.org/news/a/the-final-days-of-grace-preparing-for-the-u-s-sensitive-data-rule,bde94e77fc3de6b34d849253f6c61bcf
06-10 09:00,06-09,"Op-ed: AI's identification, tracking abilities raise privacy concerns","OP-ED : AI의 식별, 추적 능력은 개인 정보 보호 문제를 제기합니다","OP-ED : AI의 식별, 추적 능력은 개인 정보 보호 문제를 제기합니다",https://iapp.org/news/a/ais-identification-and-tracking-abilities-raise-privacy-concerns,da68b8a882945d4ec485b15347f4fd43
06-10 09:00,06-09,NIST opens public consultation on digital supply chain protection framework,NIST는 디지털 공급망 보호 프레임 워크에 대한 공개 상담을 시작합니다.,NIST는 디지털 공급망 보호 프레임 워크에 대한 공개 상담을 시작합니다.,https://iapp.org/news/a/nist-opens-public-consultation-for-its-risk-management-framework,b9ca9076f3e91c4019477e15655155f6
06-10 09:00,06-09,"CNIL issues guide on data controller, processor identification","CNIL 문제 데이터 컨트롤러, 프로세서 식별에 대한 안내서","CNIL 문제 데이터 컨트롤러, 프로세서 식별에 대한 안내서",https://iapp.org/news/a/cnil-releases-guidance-on-data-controllers-obligations,127deb63554021731209344b62168c91
06-10 09:00,06-09,US Supreme Court allows DOGE access to Social Security data and to shield record requests,미국 대법원은 DOGE가 사회 보장 데이터에 액세스하고 기록 요청을 보호 할 수 있도록 허용합니다.,미국 대법원은 DOGE가 사회 보장 데이터에 액세스하고 기록 요청을 보호 할 수 있도록 허용합니다.,https://iapp.org/news/a/scotus-issues-rulings-allowing-doge-access-to-social-security-data-defy-records-requests,accbcfc89a7bbbd56052ee8cda43be3c
06-10 09:00,06-09,European Commission considers delaying implementation of some AI Act provisions,유럽위원회는 일부 AI 법 조항의 구현 지연을 고려합니다.,유럽위원회는 일부 AI 법 조항의 구현 지연을 고려합니다.,https://iapp.org/news/a/european-commission-considering-delaying-implementation-of-some-ai-act-provisions,d9e783c111daed8f89a6c82216bb4014
06-10 09:00,06-09,Japan passes innovation-focused AI governance billÂ,일본은 혁신 중심 AI 거버넌스 빌을 통과합니다,일본은 혁신 중심 AI 거버넌스 빌을 통과합니다,https://iapp.org/news/a/japan-passes-innovation-focused-ai-governance-bill,48d7f04bbcd7674286378472f1d2b150
06-10 09:00,06-09,UK's Ofcom releases AI strategy report,영국의 OFCOM은 AI 전략 보고서를 출시합니다,영국의 OFCOM은 AI 전략 보고서를 출시합니다,https://iapp.org/news/a/ofcom-releases-ai-strategy-report,3560fb7800c2efe242132e6ec414e6f2
06-10 09:00,06-09,"AI companies need transparency rules, Anthropic founder says",AI 기업은 투명성 규칙이 필요하다고 인위적 창립자는 말했다,AI 기업은 투명성 규칙이 필요하다고 인위적 창립자는 말했다,https://iapp.org/news/a/ai-companies-need-transparency-rules-anthropic-founder-says,479ea0809f4ccdf3f047e77a742ab4f7
06-10 09:00,06-09,Seraphic Security Unveils BrowserTotal™ – Free AI-Powered Browser Security Assessment for Enterprises,Seraphic Security Offeils Browsertotal ™-기업을위한 무료 AI 구동 브라우저 보안 평가,Seraphic Security Offeils Browsertotal ™-기업을위한 무료 AI 구동 브라우저 보안 평가,https://hackread.com/seraphic-security-unveils-browsertotal-free-ai-powered-browser-security-assessment-for-enterprises/,baf687e5efe9b44f506797ad90c7c5aa
06-10 09:00,06-09,New PathWiper Malware Strikes Ukraine’s Critical Infrastructure,New Pathwiper Malware는 우크라이나의 중요한 인프라를 공격합니다,New Pathwiper Malware는 우크라이나의 중요한 인프라를 공격합니다,https://hackread.com/pathwiper-malware-hit-ukraines-critical-infrastructure/,999ee03905b48a04dbf7000e5e1b7ab6
06-10 09:00,06-09,"Hackers Using Fake IT Support Calls to Breach Corporate Systems, Google","가짜 IT IT를 사용하는 해커는 기업 시스템을 위반하기 위해 전화를 지원합니다, Google","가짜 IT IT를 사용하는 해커는 기업 시스템을 위반하기 위해 전화를 지원합니다, Google",https://hackread.com/hackers-fake-it-support-calls-breach-systems-google/,b44ccb5d4e0f7dc4312e32b60a57eb8d
06-10 09:00,06-09,"OpenAI bans ChatGPT accounts linked to Russian, Chinese cyber ops","Openai Bans Chatgpt 계정 러시아어, 중국 사이버 OPS","Openai Bans Chatgpt 계정 러시아어, 중국 사이버 OPS",https://securityaffairs.com/178797/intelligence/openai-bans-chatgpt-accounts-linked-to-russian-chinese-cyber-ops.html,eeede9f82b463c158f7c684df401e976
06-10 09:00,06-09,New Mirai botnet targets TBK DVRs by exploiting  CVE-2024-3721,새로운 Mirai Botnet은 CVE-2024-3721을 이용하여 TBK DVRS를 대상으로합니다,새로운 Mirai Botnet은 CVE-2024-3721을 이용하여 TBK DVRS를 대상으로합니다,https://securityaffairs.com/178779/malware/new-mirai-botnet-targets-tbk-dvrs-by-exploiting-cve-2024-3721.html,474b785edf37cfb98a1990eaac1804cb
06-10 09:00,06-09,84% of Organizations Are Now Using AI in the Cloud,조직의 84%가 이제 클라우드에서 AI를 사용하고 있습니다.,조직의 84%가 이제 클라우드에서 AI를 사용하고 있습니다.,https://www.securitymagazine.com/articles/101682-84-of-organizations-are-now-using-ai-in-the-cloud,257d42d5aa2496944e4108607ca2e230
06-10 09:00,06-09,84% of Organizations Are Now Using AI in the Cloud,조직의 84%가 이제 클라우드에서 AI를 사용하고 있습니다.,조직의 84%가 이제 클라우드에서 AI를 사용하고 있습니다.,https://www.securitymagazine.com/articles/101682-84-of-organizations-are-now-using-ai-in-the-cloud,257d42d5aa2496944e4108607ca2e230
06-10 09:00,06-09,The ‘death of creativity’? AI job fears stalk advertising industry,‘창의성의 죽음’?AI 직업은 광고 산업을 두려워합니다,‘창의성의 죽음’?AI 직업은 광고 산업을 두려워합니다,https://www.theguardian.com/technology/2025/jun/09/ai-advertising-industry-google-facebook-meta-ads,54b372227c9e62a4020711f02f8fd2cb
06-11 09:00,06-10,Further doubt cast over viability of proposed US state-level AI law moratorium,더 의심의 여지,더 의심의 여지,https://iapp.org/news/a/further-doubt-cast-over-viability-of-proposed-us-state-level-ai-law-moratorium,c7821c43ee1dea1c8a49214efda30079
06-11 09:00,06-10,Australia's statutory tort for invasions of privacy takes effect,프라이버시 침략에 대한 호주의 법정 불법 행위가 적용됩니다,프라이버시 침략에 대한 호주의 법정 불법 행위가 적용됩니다,https://iapp.org/news/a/oaic-details-how-australians-can-seek-damages-for-invasions-of-privacy,d71d35c63a6d5d70f057244aec70c94b
06-11 09:00,06-10,"AEPD, EDPS outline federated learning's impact on AI development","AEPD, EDPS 개요 연합 학습의 AI 개발에 미치는 영향","AEPD, EDPS 개요 연합 학습의 AI 개발에 미치는 영향",https://iapp.org/news/a/aepd-edps-publish-report-on-impact-federated-learning-has-on-ai-development,5ddb88bae035b91fcbf9a62402eb0669
06-11 09:00,06-10,Canada's OPC to host 2025 G7 Data Protection and Privacy Authorities Roundtable,캐나다의 OPC 호스트 2025 G7 데이터 보호 및 개인 정보 보호 당국 원탁 회,캐나다의 OPC 호스트 2025 G7 데이터 보호 및 개인 정보 보호 당국 원탁 회,https://iapp.org/news/a/canadas-opc-to-host-2025-g7-data-protection-and-privacy-authorities-roundtable,54d98e2d0272dbfaadf550036737c594
06-11 09:00,06-10,ANPD publishes in-depth look at neurotechnologies,ANPD는 신경 기술에 대한 심층적 인 모습을 발표합니다,ANPD는 신경 기술에 대한 심층적 인 모습을 발표합니다,https://iapp.org/news/a/anpd-publishes-in-depth-look-at-neurotechnologies,99432ca1a9b36ee1be7b2ba02be71db0
06-11 09:00,06-10,Hong Kong's DPA reminds organizations of AI management necessity,홍콩의 DPA는 조직에 AI 관리 필요성을 상기시킵니다,홍콩의 DPA는 조직에 AI 관리 필요성을 상기시킵니다,https://iapp.org/news/a/hong-kong-dpa-reminds-organizations-of-ai-management-necessity,30275b91e2ecc40c8ff71eecb0295961
06-11 09:00,06-10,Bulgaria's CPDP releases guidance on personal data leaks,불가리아의 CPDP는 개인 데이터 누출에 대한 지침을 출시합니다,불가리아의 CPDP는 개인 데이터 누출에 대한 지침을 출시합니다,https://iapp.org/news/a/bulgarias-cpdp-releases-guidance-on-personal-data-leaks,56b6407cee5d0896303c96850fc7c9f9
06-11 09:00,06-10,Getty Images Sues Stability AI for Using Its Photos to Train AI Models,Getty Images는 AI 모델을 훈련시키기 위해 사진을 사용하여 안정성 AI를 고소합니다.,Getty Images는 AI 모델을 훈련시키기 위해 사진을 사용하여 안정성 AI를 고소합니다.,https://hackread.com/getty-images-sues-stability-ai-train-ai-models/,559ea2ed8d546d7b3589a6c8643ad584
06-11 09:00,06-10,Limited Canva Creator Data Exposed Via AI Chatbot Database,AI Chatbot 데이터베이스를 통해 노출 된 제한된 캔버 제작자 데이터,AI Chatbot 데이터베이스를 통해 노출 된 제한된 캔버 제작자 데이터,https://hackread.com/limited-canva-creator-data-expose-ai-chatbot-database/,c98d46ad8cee8f0d86b717c7699e115c
06-11 09:00,06-10,U.S. CISA adds RoundCube Webmail and Erlang Erlang/OTP SSH server flaws to its Known Exploited Vulnerabilities catalog,U.S. Cisa는 RoundCube WebMail 및 Erlang Erlang/OTP SSH 서버 결함을 알려진 착취 된 취약점 카탈로그에 추가합니다.,U.S. Cisa는 RoundCube WebMail 및 Erlang Erlang/OTP SSH 서버 결함을 알려진 착취 된 취약점 카탈로그에 추가합니다.,https://securityaffairs.com/178843/hacking/u-s-cisa-adds-roundcube-erlang-erlang-flaws-known-exploited-vulnerabilities-catalog.html,f44a77abb2dda3da648e69f4af1abc06
06-11 09:00,06-10,"Mirai botnets exploit Wazuh RCE, Akamai warned",Mirai Botnets는 Wazuh Rce를 이용하여 경고했다,Mirai Botnets는 Wazuh Rce를 이용하여 경고했다,https://securityaffairs.com/178830/malware/mirai-botnets-exploit-wazuh-rce-akamai-warned.html,633164fb5f2aae913aab5129fcbeeb98
06-11 09:00,06-10,6 Google Chrome Extensions Expose User Information,6 Google Chrome Extensions는 사용자 정보를 노출시킵니다,6 Google Chrome Extensions는 사용자 정보를 노출시킵니다,https://www.securitymagazine.com/articles/101684-6-google-chrome-extensions-expose-user-information,6012f012a59fa446ebfe7781490b7ea5
06-11 09:00,06-10,Harris-Walz Campaign Possibly Targeted in iPhone Cyberattack,해리스 왈즈 캠페인은 iPhone Cyberattack을 대상으로 할 수 있습니다,해리스 왈즈 캠페인은 iPhone Cyberattack을 대상으로 할 수 있습니다,https://www.securitymagazine.com/articles/101681-harris-walz-campaign-possibly-targeted-in-iphone-cyberattack,4d9c209cccc70dc6373893d313eb369b
06-11 09:00,06-10,6 Google Chrome Extensions Expose User Information,6 Google Chrome Extensions는 사용자 정보를 노출시킵니다,6 Google Chrome Extensions는 사용자 정보를 노출시킵니다,https://www.securitymagazine.com/articles/101684-6-google-chrome-extensions-expose-user-information,6012f012a59fa446ebfe7781490b7ea5
06-11 09:00,06-10,Harris-Walz Campaign Possibly Targeted in iPhone Cyberattack,해리스 왈즈 캠페인은 iPhone Cyberattack을 대상으로 할 수 있습니다,해리스 왈즈 캠페인은 iPhone Cyberattack을 대상으로 할 수 있습니다,https://www.securitymagazine.com/articles/101681-harris-walz-campaign-possibly-targeted-in-iphone-cyberattack,4d9c209cccc70dc6373893d313eb369b
06-11 09:00,06-10,Google battling fox incursion on roof of £1bn London office,런던 £ 10 억의 지붕에서 폭스 침략과 싸우는 Google,런던 £ 10 억의 지붕에서 폭스 침략과 싸우는 Google,https://www.theguardian.com/uk-news/2025/jun/09/google-foxes-roof-london-kings-cross-office,2ebbca3a7a7b4c1e922859e4538abd7e
06-11 09:00,06-10,"Advanced AI suffers ‘complete accuracy collapse’ in face of complex problems, study finds",고급 AI는 복잡한 문제에 직면하여 '완전한 정확도 붕괴'를 겪고 있습니다.,고급 AI는 복잡한 문제에 직면하여 '완전한 정확도 붕괴'를 겪고 있습니다.,https://www.theguardian.com/technology/2025/jun/09/apple-artificial-intelligence-ai-study-collapse,abd36585cb38d185eb4e45aae6ac9f35
06-12 09:00,06-11,Meta's risk assessment updates look toward 'holistic' approach,Meta의 위험 평가 업데이트는 '전체 론적'접근 방식을 찾습니다,Meta의 위험 평가 업데이트는 '전체 론적'접근 방식을 찾습니다,https://iapp.org/news/a/metas-risk-assessment-updates-look-toward-holistic-approach,2e520f802043249f6fd81a8dd6650f1d
06-12 09:00,06-11,Cross-Border Privacy Rules gone global,국경 간 개인 정보 보호 규칙은 전 세계적으로 사라졌습니다,국경 간 개인 정보 보호 규칙은 전 세계적으로 사라졌습니다,https://iapp.org/news/a/cross-border-privacy-rules-gone-global-2,0630d2daa5891a7baee779b490e6270c
06-12 09:00,06-11,European Parliament updates AI Act implementation guide,유럽 ​​의회 업데이트 AI ACT 구현 안내서,유럽 ​​의회 업데이트 AI ACT 구현 안내서,https://iapp.org/news/a/european-parliament-updates-ai-act-implementation-guide,e808394f2c5da854a34a21d4c9acf383
06-12 09:00,06-11,WhatsApp seeks to file supporting evidence in Apple's encryption case with the UK government,WhatsApp은 영국 정부와 Apple의 암호화 사건에 대한 지원 증거를 제출하려고합니다.,WhatsApp은 영국 정부와 Apple의 암호화 사건에 대한 지원 증거를 제출하려고합니다.,https://iapp.org/news/a/whatsapp-seeks-to-file-supporting-evidence-in-apples-encryption-fight-with-uk-government,071ced24c98de29832d9293173b2c877
